Hisse Kodu;Dağıtma Tarihi;Temettü Verimi (%);Hisse Başına Brüt TL;Brüt Temettü Oranı (%);Hisse Başına Net TL;Net Temettü Oranı (%)
EREGL;29052012;6.49;0.1395;13.95;11.86;300000000;30
EREGL;30052011;6.71;0.2813;28.13;23.91;450000000;59
EREGL;28052008;3.02;0.3533;35.33;30.03;298202993;44
EREGL;28052007;0.99;0.1470;14.70;12.50;71717184;10
EREGL;30052006;2.81;0.1883;18.83;18.83;91854807;47
EREGL;29052005;13.28;0.7900;79.00;79.00;385418880;49
EREGL;29051997;2.56;0.4537;45.37;45.37;2874543;A/D
EREGL;26061996;7.25;0.6526;65.26;65.26;4134988;A/D
FROTO;03042025;1.64;17.1000;1710.00;1453.50;6000561000;14
FROTO;22112024;1.40;14.2500;1425.00;1282.50;5000467500;7
FROTO;08042024;3.55;43.3000;4330.00;3897.00;15194403000;21
FROTO;30102023;3.51;29.7600;2976.00;2678.40;10443081600;38
FROTO;13032023;2.32;14.2500;1425.00;1282.50;5000467500;18
FROTO;30112022;1.29;5.7000;570.00;513.00;2000187000;23
FROTO;24032022;4.11;13.0000;1300.00;1170.00;4561830000;52
FROTO;19112021;1.67;3.7700;377.00;320.45;1322930700;32
FROTO;24032021;3.06;6.4200;642.00;545.70;2252842200;54
FROTO;23032020;6.68;3.1200;312.00;265.20;1094839200;56
FROTO;19112019;1.80;1.2300;123.00;104.55;431619300;26
FROTO;01042019;4.98;2.4300;243.00;206.55;852711300;51
FROTO;20112018;2.13;1.1500;115.00;97.75;403546500;27
FROTO;02042018;3.66;2.2800;228.00;193.80;800074800;54
FROTO;31102017;2.14;1.1100;111.00;94.35;389510100;41
FROTO;03042017;3.20;1.1400;114.00;96.90;400037400;42
FROTO;22112016;3.04;0.8900;89.00;75.65;312309900;37
FROTO;04042016;2.71;1.0000;100.00;85.00;350910000;42
FROTO;16102015;1.71;0.5700;57.00;48.45;200018700;34
FROTO;01042015;1.70;0.5700;57.00;48.45;200018700;34
FROTO;03112014;1.80;0.5000;50.00;42.50;175455000;27
FROTO;03042013;3.23;0.8550;85.50;72.68;300028050;44
FROTO;30102012;3.44;0.6500;65.00;57.27;228091500;34
FROTO;02042012;5.95;1.0000;100.00;95.10;350910000;53
FROTO;27102011;4.47;0.6190;61.90;55.55;217213290;43
FROTO;01042011;5.83;0.8600;86.00;75.97;301782600;60
FROTO;27102010;2.96;0.4000;40.00;36.88;140364000;42
FROTO;01042010;6.73;0.7400;74.00;62.90;259673400;78
FROTO;22112009;9.35;0.8700;87.00;87.00;305291700;70
FROTO;02042009;5.65;0.2600;26.00;26.00;91236000;21
FROTO;14102008;9.02;0.5500;55.00;55.00;193000500;40
FROTO;09042008;5.60;0.7000;70.00;70.00;245637000;51
FROTO;10102007;4.37;0.5950;59.50;59.50;208791450;42
FROTO;04042007;4.44;0.5500;55.00;55.00;193000500;39
FROTO;05092006;8.12;0.8850;88.50;86.56;310539116;78
FROTO;02042006;3.33;0.4000;40.00;40.00;140364000;35
FROTO;26122005;1.95;0.2300;23.00;20.70;80709300;19
FROTO;29092005;5.43;0.5400;54.00;54.00;189491400;43
FROTO;31032005;5.61;0.6000;60.00;60.00;175455000;40
FROTO;30082004;1.67;0.1876;18.76;18.76;54846369;19
FROTO;19052004;2.29;0.2000;20.00;19.31;58485000;21
FROTO;19041998;5.64;11.0000;1100.00;1100.00;15317500;A/D
FROTO;06041997;5.01;4.0108;401.08;401.08;5294256;A/D
SAHOL;02042025;3.57;3.0000;300.00;255.00;6301127908;A/D
SAHOL;02052024;3.19;2.9430;294.30;264.87;6181406477;28
SAHOL;03042023;4.42;1.7500;175.00;157.50;3570706879;9
SAHOL;01042022;4.27;0.7500;75.00;67.50;1530302948;13
SAHOL;05042021;3.79;0.3500;35.00;29.75;714141376;15
SAHOL;01042020;4.41;0.3300;33.00;28.05;673333297;18
SAHOL;03042019;3.82;0.3000;30.00;25.50;612121179;16
SAHOL;03042018;2.87;0.3000;30.00;25.50;612121179;18
SAHOL;03042017;2.00;0.2000;20.00;17.00;408080786;15
SAHOL;01042016;1.54;0.1500;15.00;12.75;306060590;14
SAHOL;31032015;1.07;0.1000;10.00;8.50;204040393;10
SAHOL;02042014;1.18;0.1000;10.00;8.64;204040393;12
SAHOL;01042013;0.92;0.1000;10.00;8.50;204040393;11
SAHOL;09052012;1.47;0.1000;10.00;8.50;204040393;11
SAHOL;11052011;1.92;0.1500;15.00;12.75;306060590;18
SAHOL;13052010;1.52;0.1000;10.00;8.50;204040393;16
SAHOL;14052009;1.67;0.0750;7.50;6.38;135000000;11
SAHOL;22052008;2.21;0.1000;10.00;8.50;180000000;19
SAHOL;20052007;1.56;0.1000;10.00;8.50;180000000;36
SAHOL;14052006;1.26;0.0700;7.00;6.30;126000000;18
SAHOL;11052005;2.19;0.1000;10.00;9.00;120000000;17
SAHOL;17052004;3.29;0.1340;13.40;12.06;134000000;16
SAHOL;09042003;1.39;0.0500;5.00;5.00;40000000;54
SAHOL;09042000;0.71;0.0800;8.00;8.00;10000000;A/D
SAHOL;30051999;0.50;0.0500;5.00;5.00;6250000;A/D
SAHOL;20051998;0.76;0.1300;13.00;13.00;6500000;A/D
HEKTS;02122019;2.28;0.1667;16.67;14.17;37928502;36
HEKTS;01122017;5.35;0.3805;38.05;32.34;28865763;98
HEKTS;30112016;7.44;0.2721;27.21;23.13;20643437;85
HEKTS;26112015;8.16;0.2400;24.00;20.40;18203898;82
HEKTS;27112014;6.89;0.1854;18.54;15.76;14061011;78
HEKTS;31052013;9.87;0.2112;21.12;17.95;16021005;80
HEKTS;30052012;10.07;0.1440;14.40;12.24;10920769;85
HEKTS;30052011;8.19;0.1572;15.72;13.36;11923858;83
HEKTS;28052010;5.06;0.0658;6.58;5.59;4989245;86
HEKTS;30052008;9.63;0.1252;12.52;10.64;8053838;82
HEKTS;01042007;7.73;0.0750;7.50;6.38;4825104;90
HEKTS;29051997;9.27;0.4820;48.20;48.20;447296;A/D
KRDMD;28112023;0.44;0.1096;10.96;9.87;85551078;11
KRDMD;21062023;0.56;0.1096;10.96;9.87;85551078;11
KRDMD;28112022;2.96;0.4386;43.86;39.47;342204316;13
KRDMD;28062022;3.44;0.4386;43.86;39.47;342204316;13
KRDMD;27112019;5.35;0.1316;13.16;11.18;102599719;18
KRDMD;26062019;5.70;0.1316;13.16;11.18;102599719;18
KRDMD;10122015;3.75;0.0439;4.39;3.73;34220400;14
KRDMD;30062015;2.72;0.0439;4.39;3.73;34220478;14
KRDMD;29052012;6.39;0.0569;5.69;4.84;34220650;27
KCHOL;10042025;4.46;6.8800;688.00;584.80;17446978584;1214
KCHOL;24042024;3.70;8.0000;800.00;720.00;20287184400;19
KCHOL;27032023;2.20;1.7330;173.30;155.97;4394711321;6
KCHOL;07042022;2.27;0.9020;90.20;81.18;2287380041;15
KCHOL;14042021;3.16;0.5850;58.50;49.73;1483500359;16
KCHOL;06042020;1.53;0.2095;20.95;17.81;531270642;12
KCHOL;01042019;2.47;0.3980;39.80;33.83;1009287424;18
KCHOL;02042018;2.11;0.3455;34.55;29.37;876152776;18
KCHOL;06042017;2.04;0.3259;32.59;27.71;826449175;24
KCHOL;12042016;2.03;0.2910;29.10;24.74;737946333;21
KCHOL;07042015;1.57;0.1970;19.70;16.75;499571916;18
KCHOL;09042014;1.70;0.1603;16.03;14.12;406504457;15
KCHOL;17042013;1.75;0.1870;18.70;16.44;474212935;20
KCHOL;20042012;1.87;0.1267;12.67;11.04;306000000;14
KCHOL;14042011;2.83;0.2277;22.77;21.69;550000000;32
KCHOL;03052010;2.23;0.1284;12.84;12.84;310000000;22
KCHOL;29052005;1.74;0.1000;10.00;10.00;100000000;20
KCHOL;30052004;0.87;0.0540;5.40;5.40;42646500;11
KCHOL;06052001;0.19;0.1000;10.00;10.00;6410000;15
KCHOL;30052000;0.15;0.1500;15.00;15.00;4808000;A/D
KCHOL;23051999;0.30;0.2000;20.00;20.00;3205110;A/D
KCHOL;24051998;0.35;0.2000;20.00;20.00;3205110;A/D
KCHOL;25051997;0.56;0.1500;15.00;15.00;1622850;A/D
KOZAL;14072023;1.47;0.4000;40.00;36.00;1281000000;A/D
KOZAL;07072022;0.09;0.1755;17.55;15.79;2676271300;89
KOZAL;01042015;3.49;0.9836;98.36;83.61;150000007;30
KOZAL;03092014;4.29;1.0000;100.00;85.00;152500000;31
KOZAL;04042014;4.53;0.8899;88.99;75.64;135708027;27
KOZAL;14052013;2.66;0.8604;86.04;73.13;131208652;21
KOZAL;15052012;1.83;0.6219;62.19;52.86;94834452;21
KOZAL;06052011;0.63;0.1476;14.76;12.55;22514827;10
KOZAL;24052010;1.19;0.4583;45.83;38.96;27500000;19
MGROS;28052025;1.38;6.9040;690.40;586.84;1250000000;18
MGROS;13112024;0.64;2.8721;287.21;258.49;520000000;4
MGROS;27052024;1.48;6.9040;690.40;621.36;1250000000;10
MGROS;30052023;1.50;2.6070;260.70;234.63;472000000;5
MGROS;28052010;3.93;1.1000;110.00;93.50;195833000;181
MGROS;04082009;50.45;14.0000;1400.00;1190.00;2492420000;1873
MGROS;01052008;2.88;0.5926;59.26;50.37;105494955;19
MGROS;14052007;1.41;0.2269;22.69;19.29;40000000;51
MGROS;15052005;1.44;0.1500;15.00;14.73;20655000;28
MGROS;19052004;1.94;0.1300;13.00;13.00;17901000;25
MGROS;29042003;0.72;0.1000;10.00;10.00;5508000;45
MGROS;15122002;0.00;0.0000;0.00;0.00;0;A/D
MGROS;05052002;0.60;0.5000;50.00;50.00;4590000;26
MGROS;30052001;0.69;0.5000;50.00;50.00;4590000;61
MGROS;24052000;0.41;1.5000;150.00;150.00;4590000;A/D
MGROS;30051999;0.58;3.0000;300.00;300.00;3060000;A/D
MGROS;28051998;0.42;1.0000;100.00;100.00;945000;A/D
MGROS;29051997;0.31;0.5000;50.00;50.00;270000;A/D
PGSUS;Açıklanmadı;0.00;0.0000;0.00;0.00;0;A/D
PETKM;03052018;5.25;0.3600;36.00;30.60;540000000;39
PETKM;14042017;7.95;0.4000;40.00;34.00;600000000;83
PETKM;27062016;8.06;0.3150;31.50;26.78;472500000;75
PETKM;01072014;1.53;0.0470;4.70;4.00;47000000;96
PETKM;28052012;3.03;0.0558;5.58;4.74;55800000;55
PETKM;30042000;0.60;0.1250;12.50;12.50;14625000;A/D
PETKM;02051999;0.88;0.0600;6.00;6.00;7020000;A/D
PETKM;30041998;5.71;9.8500;985.00;985.00;29550000;A/D
PETKM;22051997;12.08;6.4000;640.00;640.00;19200000;A/D
PETKM;03041996;11.53;6.6880;668.80;668.80;20064000;A/D
SASA;17062019;3.75;0.2520;25.20;21.42;152454858;26
SASA;14042017;5.76;0.2563;25.63;21.78;93879027;69
SASA;15042001;7.18;0.7900;79.00;79.00;11391800;75
SASA;02051999;1.95;0.2000;20.00;20.00;1442000;A/D
SASA;27051998;8.45;0.8660;86.60;86.60;6243860;A/D
SASA;21051997;9.42;0.5560;55.60;55.60;2863400;A/D
TAVHL;25032020;6.91;1.0804;108.04;91.83;392491240;17
TAVHL;20032019;8.06;2.0854;208.54;177.26;757586828;52
TAVHL;28032018;4.44;1.1186;111.86;95.08;406371529;57
TAVHL;22032017;4.43;0.6825;68.25;58.02;247951841;58
TAVHL;22032016;5.46;0.9567;95.67;81.32;347560013;55
TAVHL;05052015;3.54;0.8425;84.25;71.61;306052865;48
TAVHL;25032014;3.29;0.5478;54.78;46.56;199005469;59
TAVHL;31052013;3.28;0.3934;39.34;33.44;142914844;48
TAVHL;15052012;2.60;0.2500;25.00;21.25;90820312;74
TOASO;03042025;6.71;12.0000;1200.00;1020.00;6000000000;104
TOASO;04042024;7.27;20.0000;2000.00;1800.00;10000000000;46
TOASO;21032023;3.28;6.0000;600.00;540.00;3000000000;32
TOASO;22032022;7.96;6.4000;640.00;576.00;3200000000;98
TOASO;23032021;8.87;3.0000;300.00;255.00;1500000000;84
TOASO;25032020;13.25;2.4000;240.00;204.00;1200000000;81
TOASO;19032019;8.22;1.7600;176.00;149.60;880000000;66
TOASO;21032018;5.67;1.6000;160.00;136.00;800000000;62
TOASO;03042017;2.57;0.7000;70.00;59.50;350000000;36
TOASO;07042016;3.32;0.7300;73.00;62.05;365000000;44
TOASO;03042015;5.86;0.9700;97.00;82.45;485000000;84
TOASO;04042014;5.08;0.6500;65.00;55.25;325000000;75
TOASO;05042013;7.90;0.9600;96.00;81.60;480000000;109
TOASO;06042012;6.33;0.5000;50.00;42.50;250000000;53
TOASO;07042011;5.62;0.5000;50.00;42.50;250000000;65
