Kod;BölünmeSonrasıSermaye(TL);Tarih;BedelliOran(%);BedelliNom.Tutar(TL);Diğer(*);BedelsizIKOran(%);BedelsizTemettüOran(%);NakitTem.Brüt(%);NakitTemettü(TL);HisseBaşıBrüt(TL)
BIMAS;607200000.0;2022-06-15;0.0;0.0;Nakit Temettü;0.0;0.0;150.0;1639440000.0;2.7
ISCTR;10000263995.12;2022-06-14;0.0;0.0;Bedelsiz Sermaye Artırımı;122.21771;0.0;0.0;0.0;0.0
ENKAI;6000000000.0;2022-06-06;0.0;0.0;Bedelsiz Temettü;0.0;7.14285;0.0;0.0;0.0
SISE;3063214056.17;2022-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;40.80681;1250000000.0;0.4080681196543283
GARAN;4200000000.0;2022-05-25;0.0;0.0;Nakit Temettü;0.0;0.0;31.12692;1307330640.0;0.3112692
AEFES;592105263.0;2022-05-20;0.0;0.0;Nakit Temettü;0.0;0.0;185.45;1098059210.0;1.8544999996056444
SASA;2858522304.0900035;2022-05-05;0.0;0.0;Bedelsiz Temettü;0.0;100.0;0.0;0.0;0.0
TTKOM;3500000000.0;2022-04-28;0.0;0.0;Nakit Temettü;0.0;0.0;141.559;4954565000.0;1.41559
EKGYO;3800000000.0;2022-04-25;0.0;0.0;Nakit Temettü;0.0;0.0;10.27;390260000.0;0.1027
ENKAI;5600000000.0;2022-04-13;0.0;0.0;Nakit Temettü;0.0;0.0;50.0;2800000000.0;0.5
YKBNK;8447051284.0;2022-04-13;0.0;0.0;Nakit Temettü;0.0;0.0;11.83845;1000000000.0;0.11838450677979807
KCHOL;2535898050.0;2022-04-07;0.0;0.0;Nakit Temettü;0.0;0.0;90.2;2287380041.0;0.9019999999605662
SAHOL;2040403931.0;2022-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;75.0;1530302948.0;0.7499999998774752
CIMSA;135084442.0;2022-03-31;0.0;0.0;Nakit Temettü;0.0;0.0;148.05553;200000000.0;1.4805553995625935
AKBNK;5200000000.0;2022-03-30;0.0;0.0;Nakit Temettü;0.0;0.0;23.3;1211600000.0;0.233
ISCTR;4500263995.120001;2022-03-29;0.0;0.0;Nakit Temettü;0.0;0.0;29.92807;1212078829.18;0.2693350502313542
FROTO;350910000.0;2022-03-24;0.0;0.0;Nakit Temettü;0.0;0.0;1300.0;4561830000.0;13.0
EREGL;3500000000.0;2022-03-22;0.0;0.0;Nakit Temettü;0.0;0.0;445.0;15575000000.0;4.45
TOASO;500000000.0;2022-03-22;0.0;0.0;Nakit Temettü;0.0;0.0;640.0;3200000000.0;6.4
ENKAI;5600000000.0;2022-01-05;0.0;0.0;Nakit Temettü;0.0;0.0;20.0;1120000000.0;0.2
ASELS;2280000000.0;2021-11-19;0.0;0.0;Nakit Temettü;0.0;0.0;17.54385;400000000.0;0.17543859649122806
FROTO;350910000.0;2021-11-19;0.0;0.0;Nakit Temettü;0.0;0.0;377.0;1322930700.0;3.77
BIMAS;607200000.0;2021-11-17;0.0;0.0;Nakit Temettü;0.0;0.0;200.0;1214400000.0;2.0
TCELL;2200000000.0;2021-10-27;0.0;0.0;Nakit Temettü;0.0;0.0;39.17859;861928980.0;0.3917859
TTKOM;3500000000.0;2021-10-01;0.0;0.0;Nakit Temettü;0.0;0.0;17.83366;624178100.0;0.1783366
TCELL;2200000000.0;2021-07-30;0.0;0.0;Nakit Temettü;0.0;0.0;39.17859;861928980.0;0.3917859
TTKOM;3500000000.0;2021-07-01;0.0;0.0;Nakit Temettü;0.0;0.0;17.83366;624178100.0;0.1783366
SISE;3063214056.17;2021-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;16.32272;500000000.0;0.16322724786173132
AEFES;592105263.0;2021-05-28;0.0;0.0;Nakit Temettü;0.0;0.0;193.48;1145605263.0;1.93480000024928
ULKER;342000000.0;2021-05-25;0.0;0.0;Nakit Temettü;0.0;0.0;80.87719;276599990.0;0.8087719005847953
